19/01/2023 17:29:57 => x_odom : 0.4322195038998351 , y_odom : -0.10438607210854152
19/01/2023 17:29:57 => x_odom : 0.4350466228284894 , y_odom : -0.10598820329510711
19/01/2023 17:29:57 => x_odom : 0.4381576184968336 , y_odom : -0.10777033797731662
19/01/2023 17:29:57 => x_odom : 0.44128952443028335 , y_odom : -0.10958581913270664
19/01/2023 17:29:57 => x_odom : 0.4415232584727001 , y_odom : -0.10972292823040021
19/01/2023 17:29:57 => x_odom : 0.4443147208072829 , y_odom : -0.1113618612876848
19/01/2023 17:29:57 => x_odom : 0.44743119289588956 , y_odom : -0.11321104756646677
19/01/2023 17:31:21 => x_odom : 6.3946724e-05 , y_odom : 0.0
19/01/2023 17:31:21 => x_odom : 0.00013687084589042943 , y_odom : -2.448210907099317e-08
19/01/2023 17:31:21 => x_odom : 0.0004170331876348969 , y_odom : -6.003250331024403e-08
19/01/2023 17:31:21 => x_odom : 0.0007710007649032059 , y_odom : 1.790340327363701e-07
19/01/2023 17:31:21 => x_odom : 0.0011200531690129533 , y_odom : 7.685930434917539e-07
19/01/2023 17:31:21 => x_odom : 0.0011281255338373383 , y_odom : 7.902963444056239e-07
19/01/2023 17:31:21 => x_odom : 0.0014713812077971837 , y_odom : 1.7211059277491057e-06
19/01/2023 17:31:21 => x_odom : 0.0018252100948032508 , y_odom : 3.028391307051417e-06
19/01/2023 17:31:21 => x_odom : 0.001833743954228377 , y_odom : 3.0685682444917443e-06
19/01/2023 17:31:21 => x_odom : 0.0021783660472662787 , y_odom : 4.699452079114194e-06
19/01/2023 17:31:22 => x_odom : 0.004205916207629392 , y_odom : 1.6295606998039908e-05
19/01/2023 17:31:22 => x_odom : 0.007269359676658999 , y_odom : 1.2345289780363414e-05
19/01/2023 17:31:22 => x_odom : 0.007338161150778651 , y_odom : 1.211605625840504e-05
19/01/2023 17:31:22 => x_odom : 0.010356134143223925 , y_odom : 1.922310391395857e-06
19/01/2023 17:31:22 => x_odom : 0.013408640975410236 , y_odom : -1.4529823635919984e-05
19/01/2023 17:31:22 => x_odom : 0.013475930512663215 , y_odom : -1.5029437064126001e-05
19/01/2023 17:31:22 => x_odom : 0.016475022780656996 , y_odom : -3.7431739209198655e-05
19/01/2023 17:31:22 => x_odom : 0.01956053200091268 , y_odom : -6.664931749259059e-05
19/01/2023 17:31:22 => x_odom : 0.019629878562274904 , y_odom : -6.744864858781884e-05
19/01/2023 17:31:22 => x_odom : 0.022631691823119807 , y_odom : -0.0001021881982018487
19/01/2023 17:31:22 => x_odom : 0.02663433470969675 , y_odom : -0.0001565221338102182
19/01/2023 17:31:22 => x_odom : 0.031184825403678763 , y_odom : -0.00024716698692834113
19/01/2023 17:31:22 => x_odom : 0.031403307801477834 , y_odom : -0.00025226004290671185
19/01/2023 17:31:22 => x_odom : 0.03573053528581756 , y_odom : -0.0003538369818214801
19/01/2023 17:31:22 => x_odom : 0.04034260879125097 , y_odom : -0.0004769772803878557
19/01/2023 17:31:22 => x_odom : 0.040450501063780134 , y_odom : -0.0004802289831180057
19/01/2023 17:31:22 => x_odom : 0.044885723831412344 , y_odom : -0.0006142564655261935
19/01/2023 17:31:22 => x_odom : 0.049463865653845224 , y_odom : -0.0007677474026008063
19/01/2023 17:31:22 => x_odom : 0.05403566536106763 , y_odom : -0.0009366418308931393
19/01/2023 17:31:22 => x_odom : 0.05420906187852401 , y_odom : -0.0009436392376643369
19/01/2023 17:31:22 => x_odom : 0.058607930013623244 , y_odom : -0.0011217247674829192
19/01/2023 17:31:22 => x_odom : 0.06285986770493344 , y_odom : -0.001307827758947642
19/01/2023 17:31:22 => x_odom : 0.0629654261453427 , y_odom : -0.0013126493303321656
19/01/2023 17:31:22 => x_odom : 0.06677641792060977 , y_odom : -0.0014870888855415439
19/01/2023 17:31:22 => x_odom : 0.07073403917819997 , y_odom : -0.0016819518289513673
19/01/2023 17:31:22 => x_odom : 0.07081955253967714 , y_odom : -0.0016864701138660353
19/01/2023 17:31:22 => x_odom : 0.07460103117727339 , y_odom : -0.0018865670222986569
19/01/2023 17:31:22 => x_odom : 0.07858907013415362 , y_odom : -0.0021113189933133466
19/01/2023 17:31:22 => x_odom : 0.08245533930022414 , y_odom : -0.002343249332171501
19/01/2023 17:31:22 => x_odom : 0.0826271932583122 , y_odom : -0.0023541639743327645
19/01/2023 17:31:22 => x_odom : 0.08637150865281408 , y_odom : -0.002592556348143924
19/01/2023 17:31:22 => x_odom : 0.09043376282154059 , y_odom : -0.0028650605808385127
19/01/2023 17:31:22 => x_odom : 0.0905666098960701 , y_odom : -0.0028745601089678126
19/01/2023 17:31:22 => x_odom : 0.09450811875541994 , y_odom : -0.0031570238672517254
19/01/2023 17:31:22 => x_odom : 0.09855828470335798 , y_odom : -0.0034661018223421844
19/01/2023 17:31:22 => x_odom : 0.09884368637163095 , y_odom : -0.0034892462351447102
19/01/2023 17:31:22 => x_odom : 0.10257617210203038 , y_odom : -0.0037931877436352085
19/01/2023 17:31:22 => x_odom : 0.10660483975810585 , y_odom : -0.004139022121339152
19/01/2023 17:31:22 => x_odom : 0.11069616525140957 , y_odom : -0.004509740854913562
19/01/2023 17:31:22 => x_odom : 0.11087072174090343 , y_odom : -0.004526403811580483
19/01/2023 17:31:22 => x_odom : 0.11468098529014198 , y_odom : -0.004890915901125864
19/01/2023 17:31:22 => x_odom : 0.11889099297566519 , y_odom : -0.005312703978220798
19/01/2023 17:31:22 => x_odom : 0.11924877263568322 , y_odom : -0.005350555698483787
19/01/2023 17:31:22 => x_odom : 0.12283266001092091 , y_odom : -0.00573180042002795
19/01/2023 17:31:22 => x_odom : 0.12685264543091113 , y_odom : -0.00618285957650733
19/01/2023 17:31:22 => x_odom : 0.13089031178849123 , y_odom : -0.006662344769629918
19/01/2023 17:31:22 => x_odom : 0.1312956290599457 , y_odom : -0.006713149577127636
19/01/2023 17:31:22 => x_odom : 0.13481113679370396 , y_odom : -0.007156134096392832
19/01/2023 17:31:22 => x_odom : 0.1387798553654479 , y_odom : -0.007679066588260237
19/01/2023 17:31:22 => x_odom : 0.13913232854678304 , y_odom : -0.007727804970994921
19/01/2023 17:31:22 => x_odom : 0.1427754497615505 , y_odom : -0.008233669922537823
19/01/2023 17:31:22 => x_odom : 0.14674210210046504 , y_odom : -0.008808236362351287
19/01/2023 17:31:22 => x_odom : 0.1469700096650069 , y_odom : -0.00884273997486499
19/01/2023 17:31:22 => x_odom : 0.15094711720413745 , y_odom : -0.009445987770030239
19/01/2023 17:31:22 => x_odom : 0.15525793813382757 , y_odom : -0.010121462654896394
19/01/2023 17:31:22 => x_odom : 0.1594136105798896 , y_odom : -0.010795259794133559
19/01/2023 17:31:22 => x_odom : 0.1597525191204666 , y_odom : -0.010851994010630327
19/01/2023 17:31:22 => x_odom : 0.1635956423157423 , y_odom : -0.011496995967108722
19/01/2023 17:31:22 => x_odom : 0.16784377780349558 , y_odom : -0.01223070705615237
19/01/2023 17:31:22 => x_odom : 0.1681259239517879 , y_odom : -0.012280963681125611
19/01/2023 17:31:22 => x_odom : 0.17202878816137568 , y_odom : -0.012977557037766006
19/01/2023 17:31:22 => x_odom : 0.17622415297629676 , y_odom : -0.013747265580236992
19/01/2023 17:31:22 => x_odom : 0.18044136151900686 , y_odom : -0.014543636042878637
19/01/2023 17:31:22 => x_odom : 0.18054177453835676 , y_odom : -0.014563141673989583
19/01/2023 17:31:22 => x_odom : 0.18443790742916347 , y_odom : -0.015320471147759536
19/01/2023 17:31:22 => x_odom : 0.18848101302797257 , y_odom : -0.01612968360315652
19/01/2023 17:31:22 => x_odom : 0.18880716265570058 , y_odom : -0.016196919480088723
19/01/2023 17:31:22 => x_odom : 0.19246212539805366 , y_odom : -0.0169521661071394
19/01/2023 17:31:22 => x_odom : 0.19648871428179202 , y_odom : -0.017806140881691628
19/01/2023 17:31:22 => x_odom : 0.19660935214149772 , y_odom : -0.017832452774930122
19/01/2023 17:31:22 => x_odom : 0.20052186129841973 , y_odom : -0.01868650392956004
19/01/2023 17:31:22 => x_odom : 0.20446800006827195 , y_odom : -0.019571076912680296
19/01/2023 17:31:22 => x_odom : 0.20847937943123157 , y_odom : -0.020494130617470543
19/01/2023 17:31:22 => x_odom : 0.208688326956173 , y_odom : -0.0205434794192478
19/01/2023 17:31:22 => x_odom : 0.21247555453693479 , y_odom : -0.021439065503346056
19/01/2023 17:31:22 => x_odom : 0.21651724720965124 , y_odom : -0.02241338527041906
19/01/2023 17:31:22 => x_odom : 0.21661311618896772 , y_odom : -0.022436967447020027
19/01/2023 17:31:22 => x_odom : 0.22048814698546057 , y_odom : -0.023390613568227647
19/01/2023 17:31:22 => x_odom : 0.2245161646548514 , y_odom : -0.02440096110399574
19/01/2023 17:31:22 => x_odom : 0.22849350859000914 , y_odom : -0.025418218821910886
19/01/2023 17:31:22 => x_odom : 0.22859719827984099 , y_odom : -0.025445245680475077
19/01/2023 17:31:22 => x_odom : 0.23253062941606073 , y_odom : -0.026471002325027266
19/01/2023 17:31:22 => x_odom : 0.23659794362325284 , y_odom : -0.02755166401835625
19/01/2023 17:31:22 => x_odom : 0.2366971713792883 , y_odom : -0.027578525623667076
19/01/2023 17:31:22 => x_odom : 0.2405791318538464 , y_odom : -0.028629873733068825
19/01/2023 17:31:22 => x_odom : 0.24461952878523027 , y_odom : -0.029743534218981925
19/01/2023 17:31:22 => x_odom : 0.2447213801460824 , y_odom : -0.029772118646348194
19/01/2023 17:31:22 => x_odom : 0.24865420653415882 , y_odom : -0.03087635900015545
19/01/2023 17:31:23 => x_odom : 0.2526581489313902 , y_odom : -0.032020197827434045
19/01/2023 17:31:23 => x_odom : 0.2566998983882064 , y_odom : -0.03319509077659285
19/01/2023 17:31:23 => x_odom : 0.2568110670235298 , y_odom : -0.03322797090791307
19/01/2023 17:31:23 => x_odom : 0.2606620881906604 , y_odom : -0.0343675194228957
19/01/2023 17:31:23 => x_odom : 0.26460776634535127 , y_odom : -0.035554251705288656
19/01/2023 17:31:23 => x_odom : 0.2647098082568193 , y_odom : -0.035585428484012485
19/01/2023 17:31:23 => x_odom : 0.26852446522065054 , y_odom : -0.036751407796414115
19/01/2023 17:31:23 => x_odom : 0.2723944033003865 , y_odom : -0.0379529092306027
19/01/2023 17:31:23 => x_odom : 0.27248937732363643 , y_odom : -0.03798286147606525
19/01/2023 17:31:23 => x_odom : 0.2763114529770039 , y_odom : -0.0391887022179829
19/01/2023 17:31:23 => x_odom : 0.2802106710618751 , y_odom : -0.040437842103016174
